unit_id,label_zh,label_en,symbol,alias,quantitykind,dimensionVec,conversionVal,basicUnit,frequency,keywords_zh,description_zh,description_en,informativeReference
A,安培,Ampere,A,安,"CurrentLinkage,DisplacementCurrent,ElectricCurrent,ElectricCurrentPhasor,MagneticTension,MagnetomotiveForce,TotalCurrent",A0E1L0I0M0H0T0D0,1.0,A,68.78959427330102,"电流,电阻,电能",安培是国际制单位制中的基本单位之一，用于测量电流强度。一个安培被定义为一秒钟内通过导体横截面的电荷量，是电学中十分重要的单位之一。,"The  (ampere), often shortened to (amp), is the SI unit of electric current and is one of the seven SI base units.","http://en.wikipedia.org/wiki/Ampere?oldid=494026699,http://baike.baidu.com/subview/4504/5237142.htm"
A-HR,安培小时,Ampere Hour,A·h,,ElectricCharge,A0E1L0I0M0H0T1D0,3600.0,C,56.03786986083147,,它是电量的单位，表示在单位时间内电流强度为1安的电流通过导体的时间。常用于描述电池的电容量和使用寿命。,"(Ampere hour) is a practical unit of electric charge equal to the charge flowing in one hour through a conductor passing one ampere. An ampere-hour or amp-hour (symbol (Ah,,AHr,, A cdot h, A h)) is a unit of electric charge, with sub-units milliampere-hour  and milliampere second . One ampere-hour is equal to 3600 coulombs (ampere-seconds), the electric charge transferred by a steady current of one ampere for one hour. The ampere-hour is frequently used in measurements of electrochemical systems such as electroplating and electrical batteries. The commonly seen milliampere-hour  is one-thousandth of an ampere-hour .""","http://en.wikipedia.org/wiki/Ampere-hour','http://www.oxfordreference.com/view/10.1093/acref/9780199233991.001.0001/acref-9780199233991-e-86"
A-M2,安培平方米,Ampere Square Metre,A·m2,,MagneticDipoleMoment,A0E1L2I0M0H0T0D0,1.0,A-M2,53.97919332251725,,安培平方米是电流密度的单位，表示通过一个平面的电流在单位面积内的分布情况。它通常用于描述电磁场的引力特性和电磁波的能量密度。,The SI unit of electromagnetic moment.,http://encyclopedia2.thefreedictionary.com/ampere+meter+squared
A-M2-PER-J-SEC,安培平方米每焦耳秒,Ampere Square Metre Per Joule Second,A·m2/J·s,,"GyromagneticRatio,MagneticDipoleMoment",A0E1L2I0M0H0T0D0,1.0,A-M2,52.40845943502114,,是电流密度的单位，表示单位时间内通过单位面积的电流所释放的能量。通常用于描述磁场的强度和能量密度等物理量。,The SI unit of gyromagnetic ratio.,http://encyclopedia2.thefreedictionary.com/ampere+square+meter+per+joule+second
A-PER-CentiM,安培每厘米,Ampere Per Centimetre,A/cm,,"LinearElectricCurrentDensity,MagneticFieldStrength_H",A0E1L-2I0M0H0T0D0,100.0,A-PER-M,51.44930469085349,,它是磁场强度或磁感应强度的单位，表示每厘米长度的导线中流经的安培数。常用于描述磁场的强度和磁性材料的特性。,,
A-PER-CentiM2,安培每平方厘米,Ampere Per Square Centimetre,A/cm2,,ElectricCurrentDensity,A0E1L-2I0M0H0T0D0,10000.0,A-PER-M2,49.67223007635362,,它是电流密度的单位，表示通过面积为1平方厘米的区域的电流强度。在电学和电子学中常用于描述电路中电流的分布。,,
A-PER-DEG_C,安培每摄氏度,Ampere per Degree Celsius,A/°C,,ElectricCurrentPerUnitTemperature,A0E1L0I0M0H-1T0D0,1.0,,51.10050602611941,,它是描述电流和温度变化之间关系的单位，表示在温度变化1摄氏度的条件下，一个导体的电流变化量。通常用于描述电阻器、热敏电阻器等元件的特性。,A measure used to express how a current is subject to temperature. Originally used in Wiens Law to describe phenomena related to filaments. One use today is to express how a current generator derates with temperature.,"http://books.google.com/books?id=zkErAAAAYAAJ&pg=PA60&lpg=PA60&dq=ampere+per+degree','http://web.mit.edu/course/21/21.guide/use-tab.htm"
A-PER-J,安培每焦耳,Ampere per Joule,A/J,,ElectricCurrentPerUnitEnergy,A0E1L-2I0M-1H0T3D0,1.0,A-PER-J,50.49926984160282,,安培每焦耳是电学中的一个单位，表示单位电量（每焦耳）中所含的电流（安培）量，也可理解为单位能量中所含的电流密度。常用于描述电子器件的功率和效率。,"The inverse measure of (joule-per-ampere) or (weber). The measure for the reciprical of magnetic flux.""",
A-PER-M,安培每米,Ampere per Metre,A/m,,"Coercivity,LinearElectricCurrentDensity,MagneticFieldStrength_H",A0E1L-1I0M0H0T0D0,1.0,A-PER-M,54.69135354318807,,安培每米是电场强度的单位，表示在一米长度内通过一个相邻的平面所产生的电流。它是磁场H的单位，常用于描述磁性材料的特性。," is the SI unit of magnetic field strength. One ampere per meter is equal to (pi/250) oersteds  in CGS units. The ampere per meter is also the SI unit of ""magnetization"" in the sense of magnetic dipole moment per unit volume; in this context (1 A/m = 0.001,emu,per,cubic,centimeter).""",
A-PER-M2,安培每平方米,Ampere per Square Metre,A/m2,,"DisplacementCurrentDensity,ElectricCurrentDensity,TotalCurrentDensity",A0E1L-2I0M0H0T0D0,1.0,A-PER-M2,52.98947331928605,,安培每平方米是磁场强度的单位，表示单位面积上的磁通量密度。在电磁学中常用于描述电磁场的强度。,"(Ampere Per Square Meter) is a unit in the category of electric current density. This unit is commonly used in the SI unit system.""",https://cdd.iec.ch/cdd/iec61360/iec61360.nsf/Units/0112-2---62720%23UAA105
A-PER-M2-K2,安培每平方米平方开尔文,Ampere per Square Metre Square Kelvin,A/m2·K,,RichardsonConstant,A0E1L-2I0M0H-2T0D0,1.0,A-PER-M2-K2,44.2102496595101,,它是电场强度的单位，通常用于描述材料的热电效应。它表示每平方米表面积和每开尔文温度差下的通过该表面的电流密度。,,http://www.iso.org/iso/catalogue_detail?csnumber=31897
A-PER-MilliM,安培每毫米,Ampere Per Millimetre,A/mm,,"LinearElectricCurrentDensity,MagneticFieldStrength_H",A0E1L-1I0M0H0T0D0,1000.0,A-PER-M,48.60280924248179,,安培是电流单位，毫米是长度单位，Ampere Per Millimetre则是电流密度的单位，表示电流通过的毫米长度上的电流大小。常用于电磁学和电工学领域。,,
A-PER-MilliM2,安培每平方毫米,Ampere Per Square Millimetre,A/mm2,,ElectricCurrentDensity,A0E1L-2I0M0H0T0D0,1000000.0,A-PER-M2,48.60280924248179,,安培是电流的单位，平方毫米是面积的单位。安培每平方毫米是描述在电磁场中，单位面积上通过的电流密度。常用于电子元件的设计和研究。,,
A-PER-RAD,安培每弧度,Ampere per Radian,A/rad,,ElectricCurrentPerAngle,A0E1L0I0M0H0T0D0,1.0,A-PER-RAD,33.90541067415654,,安培每弧度是一个物理单位的单位，用于描述电路中的无纪、阻抗和自电感等参数。它表示单位电流通过单位弧度的角度所产生的力。,"(Ampere per Radian) is a derived unit for measuring the amount of current per unit measure of angle, expressed in ampere per radian.""",
A-SEC,安培秒,Ampere Second,A·s,,ElectricCharge,A0E1L0I0M0H0T1D0,1.0,C,56.41418170993298,,安培秒是电荷数量的单位，也可以用库伦表示，表示通过一个电流为1安的导线的电荷在1秒内的传递量。可以用于描述电流强度和电磁场强度。,,
AC,英亩,Acre,acre,,Area,A0E0L2I0M0H0T0D0,4046.856422,M2,64.81968807976834,"土地,面积,农田",英亩是面积的单位，通常用于衡量农田、地皮和场地的大小。它等于4840平方码或4046.8564平方米。,"The acre is a unit of area in a number of different systems, including the imperial and U.S. customary systems. Its international symbol is ac. The most commonly used acres today are the international acre and, in the United States, the survey acre. The most common use of the acre is to measure tracts of land. One international acre is equal to 4046.8564224 square metres.","http://en.wikipedia.org/wiki/Acre?oldid=495387342,http://baike.baidu.com/view/1146655.htm"
AC-FT,英亩英尺,Acre Foot,ac-ft,,Volume,A0E0L3I0M0H0T0D0,1233.481838,M3,57.51890820261565,,英亩英尺是用于测量水体体积的单位，指的是一个英亩面积的水深为一英尺的体积，是农村和城市规划、水利工程中常用的单位。,"An acre-foot is a unit of volume commonly used in the United States in reference to large-scale water resources, such as reservoirs, aqueducts, canals, sewer flow capacity, and river flows. It is defined by the volume of one acre of surface area to a depth of one foot. Since the acre is defined as a chain by a furlong  the acre-foot is exactly (43,560 cubic feet). For irrigation water, the volume of (1 ft times 1 ; ac = 43,560 ; ft^{3} (1,233.482 ; m^{3}, 325,851 ; US gal)).""","http://en.wikipedia.org/wiki/Acre-foot','http://www.oxfordreference.com/view/10.1093/acref/9780198605225.001.0001/acref-9780198605225-e-35"
AFN,阿富汗尼,Afghani,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,阿富汗,兑换率",,Afghanistan,http://en.wikipedia.org/wiki/Afghani?oldid=485904590
